"lat","lon","N_khy_1850","N_khy_2000","N_to_1984","N_to_2000"
31.2631578947,-105,0.8497475,6.63074,303.2634362,408.8622772
31.2631578947,-107.5,0.856422,5.1683,254.80896,342.325041
31.2631578947,-110,0.7593547,4.713641,241.2509541,323.3195721
31.2631578947,-112.5,0.3871981,3.777334,176.3025729,240.6069079
31.2631578947,-115,0.2458707,2.892757,135.71579429,183.60415139
31.2631578947,-117.5,0.1933484,2.7299973,136.1914474,180.4362282
31.2631578947,-120,0.1376072,1.6260138,78.0962167,103.9038806
31.2631578947,-122.5,0.1382409,1.6229381,76.3695096,101.1738552
31.2631578947,-125,0.1098021,1.1350789,49.4239037,65.9144478
31.2631578947,-127.5,0.1012692,0.941121,41.6984957,55.7078305
31.2631578947,-62.5,0.5636295,1.4399975,115.8317379,139.3318322
31.2631578947,-65,0.7100665,1.5249184,132.668356,159.312848
31.2631578947,-67.5,0.9290334,1.5691889,154.7602136,185.0190937
31.2631578947,-70,1.2654914,1.7870348,184.8196377,220.3296201
31.2631578947,-72.5,1.844213,2.151204,244.1995116,288.0780976
31.2631578947,-75,3.226173,3.373794,405.590611,469.960284
31.2631578947,-77.5,4.665897,4.757175,590.195738,673.170431
31.2631578947,-80,5.661682,5.622188,705.036555,792.983812
31.2631578947,-82.5,14.735972,9.708409,1646.176145,1797.165881
31.2631578947,-85,7.197477,9.251944,997.38288,1138.625225
31.2631578947,-87.5,5.770042,8.681161,834.35003,963.384976
31.2631578947,-90,7.45199,9.14794,1008.462092,1144.132285
31.2631578947,-92.5,4.568973,9.09632,700.384189,836.992969
31.2631578947,-95,3.482368,9.73132,610.502256,753.14814
31.2631578947,-97.5,1.636125,9.41118,461.856841,597.143281
33.1578947368,-100,1.312529,8.01522,358.846803,476.879243
33.1578947368,-102.5,0.992798,7.8005,325.553118,437.656488
33.1578947368,-105,0.911619,7.53193,327.3505449,441.7058149
33.1578947368,-107.5,1.071916,6.6427,318.855204,424.282812
33.1578947368,-110,1.140535,6.561811,339.555573,446.646345
33.1578947368,-112.5,0.4872242,5.996597,287.0828188,383.1711848
33.1578947368,-115,0.3719748,5.105662,236.4621947,315.6046773
